 "'AS-IS'"
 "Marvel"(L 9563, off 15) 
 "Mason"(L 9460, off 38) 
 "Masterly"(L 9340, off 10) 
 "Mastery"(L 119, off 24) 
 "Mate"(L 104, off 29) 
 "May"(L 7496, off 36) 
 "Merriwel-l-l"(L 956, off 11) 
 "Merriwell----Wow"(L 4806, off 29) 
 "Merriwell--one"(L 8869, off 0) 
 "Merriwells----"
 "Mess"(L 9005, off 18) 
 "Michael"(L 9950, off 10) 
 "Middle"(L 8964, off 11) 
 "Middy"(L 9543, off 18) 
 "Might"(L 1214, off 1) 
 "Mighty"(L 4998, off 22) 
 "Mile"(L 5179, off 0) 
 "Millionaire"(L 9024, off 9) 
 "Mindful"(L 2914, off 0) 
 "Mine"(L 9034, off 19) 
 "Mirrors"(L 9323, off 20) 
 "Mississippi"(L 9894, off 9) 
 "Mistuh"(L 4824, off 56) 
 "Mixed-up"(L 9005, off 9) 
 "Money-order"(L 9006, off 17) 
 "Moreover"(L 5124, off 6) 
 "Morning"(L 5039, off 1) 
 "Mornings"(L 4601, off 1) 
 "Morpheus"(L 8642, off 50) 
 "Motive"(L 9193, off 26) 
 "Mummy"(L 9350, off 20) 
 "Murphy"(L 8644, off 5) 
 "Mutes"(L 9289, off 22) 
 "Muttering"(L 3067, off 24) 
 "Mystic"(L 9187, off 12) 
 "NEGLIGENCE"(L 9822, off 46) 
 "NEVER"(L 9365, off 11) 
 "NICHOLAS"(L 8940, off 7) 
 "NICK"(L 8934, off 0) 
 "NIGHT"(L 3929, off 16) 
 "NINE"(L 5946, off 29) 
 "NINTH"(L 5714, off 24) 
 "NOTICE"(L 9827, off 36) 
 "NOW"(L 9470, off 0) 
 "Nary"(L 4276, off 1) 
 "Nation"(L 9304, off 10) 
 "Nearly"(L 9676, off 42) 
 "Necklace"(L 8994, off 17) 
 "Needles"(L 9033, off 19) 
 "Needy"(L 9013, off 11) 
 "Nefer"(L 8466, off 1) 
 "Neighbor"(L 9080, off 31) 
 "Neither"(L 6816, off 1) 
 "Net"(L 9222, off 27) 
 "Network"(L 9031, off 9) 
 "Nevertheless"(L 7235, off 16) 
 "Newby"(L 9910, off 19) 
 "News"(L 7621, off 54) 
 "Nice"(L 1118, off 61) 
 "Nomads"(L 67, off 25) 
 "Nor"(L 7522, off 47) 
 "Northwest"(L 9489, off 25) 
 "OLD"(L 9365, off 22) 
 "OLIVER"(L 9501, off 3) 
 "OPENED"(L 2420, off 24) 
 "OPTIC"(L 9501, off 10) 
 "OTHER"(L 9845, off 0) 
 "OVER"(L 228, off 43) 
 "OWEN"(L 1792, off 2) 
 "OWN"(L 3167, off 28) 
 "OWNER"(L 9825, off 10) 
 "Oath"(L 9241, off 18) 
 "Obtaining"(L 4006, off 13) 
 "Often"(L 7748, off 1) 
